timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-04-14 02:29:38,"b""As of today my 93 y/o mom's small, well run &amp; staffed 24hr assisted living center has 8 patients, 3 staff w/ #coronavirus. That number is expect to rise. - T/U #Nurses #HealthCareWorkers #DrFauci - Meanwhile that rich kid we all remember sleeping thru civics is #POTUS - #COVID19 https://t.co/4SmxFfY1NP""",b'RingoCali',"['coronavirus', 'Nurses', 'HealthCareWorkers', 'DrFauci', 'POTUS', 'COVID19']",4427,"b'Los Angeles, CA'"
2020-04-14 02:29:35,b'Some of the Doctors &amp; Nurses on the frontline of the #Covid19 #Coronavirus #LightItUpBlue\xf0\x9f\x92\x99 https://t.co/t5VUlwDLBF',b'jamaal91604133',"['Covid19', 'Coronavirus', 'LightItUpBlue']",467,b''
2020-04-14 02:29:23,b'For those who think #hydroxychroloquine works for #COVID19 #coronavirus #COVID2019 #PresserCOVID19 read below https://t.co/dMR8hbyVwp',b'Bevobarolo1',"['hydroxychroloquine', 'COVID19', 'coronavirus', 'COVID2019', 'PresserCOVID19']",262,b'Elysium'
2020-04-14 02:29:21,"b'The spread of coronavirus, also known as COVID-19, has brought much of the world to a standstill. Amazon is Hiring around the world for 100,000 New Jobs, Including At-home Work (Video). #AmazonStory #Startup to #Unicorn #Jobs #covid19 #coronavirus #stayhome #staypositive #staysaf https://t.co/DVdsm74Mn3'",b'abbas0830',"['AmazonStory', 'Startup', 'Unicorn', 'Jobs', 'covid19', 'coronavirus', 'stayhome', 'staypositive', 'staysaf']",245,b'Bangalore'
2020-04-14 02:29:12,b'@peterbakernyt #COVID19 #CoronaVirus #Corona #SARSCoV2 #Corona19  \xf0\x9f\x98\xb7   Lol  Approximately 1.4 billion Chinese around the world call it \xe2\x80\x9cWuhan pneumonia\xe2\x80\x9d   \xe6\xad\xa6\xe6\xb1\x89\xe8\x82\xba\xe7\x82\x8e  There\xe2\x80\x99s your Chinese lesson for today.  \xf0\x9f\xa6\xa0',b'HallyuWebsite',"['COVID19', 'CoronaVirus', 'Corona', 'SARSCoV2', 'Corona19']",136006,b''
2020-04-14 02:29:09,"b""@BrianKarem @realDonaldTrump It\xe2\x80\x99s troubling when it comes to how @realDonaldTrump and his administration dealt with early warning signs that the virus was going to be very, very bad. President Trump's too-slow reaction to coronavirus pandemic is killing tens of thousands of Americans. #COVID19 #coronavirus""",b'trumpedupagain',"['COVID19', 'coronavirus']",7,b''
2020-04-14 02:29:05,b'Money changes everything..\xf0\x9f\x98\x92\xf0\x9f\x99\x81  #Florida #FloridaKeys #Wealthy #TestKits #CoronaVirus  #COVID19  #Masks https://t.co/QIQytzyqP3',b'madamyez',"['Florida', 'FloridaKeys', 'Wealthy', 'TestKits', 'CoronaVirus', 'COVID19', 'Masks']",1636,"b'Philadelphia, PA.'"
2020-04-14 02:29:02,b'Due to COVID-19 cyclists are going through some rough times right now. Fortunately there are ways we can cope. #cycling #coronavirus #covid19  https://t.co/I3w2kFTY3H',b'VeloNutCom',"['cycling', 'coronavirus', 'covid19']",1,"b'Dallas, Texas'"
2020-04-14 02:29:02,b'Spotted in northwest Houston \xe2\x80\x94 a tree doing its part to #flattenthecurve!  Tweet us your mask pics.  #coronavirus #covid19 (\xf0\x9f\x93\xb8:/rwildgoose). https://t.co/JZygqDf9sZ',b'KHOU',"['flattenthecurve', 'coronavirus', 'covid19']",723789,"b'Houston, TX'"
2020-04-14 02:28:53,"b'Hey @samstein, what #Conservative is defending #Trump2020\xe2\x80\x99s argument on this. Every conservative I\xe2\x80\x99ve heard seems to have familiarity with the 10th Amendment.  #Trump #StayHomeSaveLives #StayHome #StayAtHome #coronavirus #CoronavirusPandemic #COVID2019 #COVID19 #COVID\xe3\x83\xbc19 #COVID https://t.co/nOqKE7KmkK https://t.co/DMgLnnbjZ3'",b'ElectileDysfx',"['Conservative', 'Trump2020', 'Trump', 'StayHomeSaveLives', 'StayHome', 'StayAtHome', 'coronavirus', 'CoronavirusPandemic', 'COVID2019', 'COVID19', 'COVIDー19', 'COVID']",4,"b'Ohio, USA'"
